Engroshandel med spesialisert vareutvalg ellers,46.76
Engroshandel med spesialisert vareutvalg ellers,46.71
Uspesifisert engroshandel,46.90
Butikkhandel med bredt vareutvalg,47.11
Butikkhandel med bredt vareutvalg,47.19
Butikkhandel med nærings- og nytelsesmidler i spesialforretninger,47.23
Butikkhandel med nærings- og nytelsesmidler i spesialforretninger,47.21
Butikkhandel med nærings- og nytelsesmidler i spesialforretninger,47.29
Butikkhandel med nærings- og nytelsesmidler i spesialforretninger,47.26
Butikkhandel med nærings- og nytelsesmidler i spesialforretninger,47.22
Butikkhandel med nærings- og nytelsesmidler i spesialforretninger,47.25
Detaljhandel med drivstoff til motorvogner,47.30
Butikkhandel med IKT-utstyr i spesialforretninger,47.43
Butikkhandel med IKT-utstyr i spesialforretninger,47.41
Butikkhandel med andre husholdningsvarer i spesialforretninger,47.52
Butikkhandel med andre husholdningsvarer i spesialforretninger,47.54
Butikkhandel med andre husholdningsvarer i spesialforretninger,47.53
Butikkhandel med andre husholdningsvarer i spesialforretninger,47.59
Butikkhandel med andre husholdningsvarer i spesialforretninger,47.51
"Butikkhandel med bøker, musikkartikler og andre fritidsartikler i spesialforretninger",47.63
"Butikkhandel med bøker, musikkartikler og andre fritidsartikler i spesialforretninger",47.64
"Butikkhandel med bøker, musikkartikler og andre fritidsartikler i spesialforretninger",47.65
"Butikkhandel med bøker, musikkartikler og andre fritidsartikler i spesialforretninger",47.61
"Butikkhandel med bøker, musikkartikler og andre fritidsartikler i spesialforretninger",47.62
Annen butikkhandel i spesialforretninger,47.71
Annen butikkhandel i spesialforretninger,47.79
Annen butikkhandel i spesialforretninger,47.73
Annen butikkhandel i spesialforretninger,47.72
Annen butikkhandel i spesialforretninger,47.75
Annen butikkhandel i spesialforretninger,47.78
Torghandel,47.81
Torghandel,47.89
Detaljhandel utenom utsalgssted,47.99
Detaljhandel utenom utsalgssted,47.91
Passasjertransport med jernbane,49.10
Godstransport med jernbane,49.20
Annen landtransport med passasjerer,49.31
Annen landtransport med passasjerer,49.32
Annen landtransport med passasjerer,49.39
"Godstransport på vei, herunder flyttetransport",49.41
"Godstransport på vei, herunder flyttetransport",49.42
Rørtransport,49.50
Sjøfart og kysttrafikk med passasjerer,50.10
Sjøfart og kysttrafikk med gods,50.20
Passasjertransport på elver og innsjøer,50.30
Godstransport på elver og innsjøer,50.40
Lufttransport med passasjerer,51.10
Lufttransport med gods samt romfart,51.21
Lufttransport med gods samt romfart,51.22
Lagring,52.10
Andre tjenester tilknyttet transport,52.22
Andre tjenester tilknyttet transport,52.23
Andre tjenester tilknyttet transport,52.24
Andre tjenester tilknyttet transport,52.29
Andre tjenester tilknyttet transport,52.21
Landsdekkende posttjenester,53.10
Andre post- og budtjenester,53.20
